Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.002563,0.000000,0.000000,0.000000,0.000000,12.601562,12.343750,12.382812,12.406250,0.000000,0.000000,0.000000,0.000000,
0.023475,0.000000,0.000000,0.000000,0.000000,12.609375,12.359375,12.390625,12.406250,0.000000,0.000000,0.000000,0.000000,
0.042305,0.000000,-0.000000,0.000000,0.000000,12.609375,12.359375,12.382812,12.414062,0.000000,0.000000,0.000000,0.000000,
0.062384,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.382812,12.406250,0.000000,0.000000,0.000000,0.000000,
0.082245,0.000000,-0.000000,0.000000,0.000000,12.601562,12.351562,12.382812,12.398438,0.000000,0.000000,0.000000,0.000000,
0.102328,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.390625,12.414062,0.000000,0.000000,0.000000,0.000000,
0.122271,0.000000,-0.000000,0.000000,0.000000,12.609375,12.343750,12.390625,12.414062,0.000000,0.000000,0.000000,0.000000,
0.142336,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.398438,12.414062,0.000000,0.000000,0.000000,0.000000,
0.162310,0.000000,-0.000000,0.000000,0.000000,12.609375,12.343750,12.390625,12.406250,0.000000,0.000000,0.000000,0.000000,
0.182328,0.000000,-0.000000,0.000000,0.000000,12.601562,12.351562,12.390625,12.406250,0.000000,0.000000,0.000000,0.000000,
0.202452,0.000000,-0.000000,0.000000,0.000000,12.609375,12.343750,12.390625,12.406250,0.000000,0.000000,0.000000,0.000000,
0.222313,0.000000,-0.000000,0.000000,0.000000,12.609375,12.359375,12.398438,12.414062,0.000000,0.000000,0.000000,0.000000,
0.242474,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.390625,12.406250,0.000000,0.000000,0.000000,0.000000,
0.262664,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.390625,12.414062,0.000000,0.000000,0.000000,0.000000,
0.282400,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.398438,12.406250,0.000000,0.000000,0.000000,0.000000,
0.302536,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.390625,12.414062,0.000000,0.000000,0.000000,0.000000,
0.322392,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.398438,12.406250,0.000000,0.000000,0.000000,0.000000,
0.342332,0.000000,-0.000000,0.000000,0.000000,12.609375,12.359375,12.398438,12.406250,0.000000,0.000000,0.000000,0.000000,
0.362333,0.000000,-0.000000,0.000000,0.000000,12.609375,12.359375,12.382812,12.406250,0.000000,0.000000,0.000000,0.000000,
0.382375,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.375000,12.414062,0.000000,0.000000,0.000000,0.000000,
0.402284,0.000000,-0.000000,0.000000,0.000000,12.601562,12.359375,12.398438,12.406250,0.000000,0.000000,0.000000,0.000000,
0.422356,0.000000,-0.000000,0.000000,0.000000,12.601562,12.351562,12.398438,12.414062,0.000000,0.000000,0.000000,0.000000,
0.442443,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.382812,12.406250,0.000000,0.000000,0.000000,0.000000,
0.462485,0.000000,-0.000000,0.000000,0.000000,12.601562,12.351562,12.390625,12.414062,0.000000,0.000000,0.000000,0.000000,
0.482343,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.390625,12.414062,0.000000,0.000000,0.000000,0.000000,
0.502367,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.398438,12.414062,0.000000,0.000000,0.000000,0.000000,
0.522398,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.390625,12.406250,0.000000,0.000000,0.000000,0.000000,
0.542382,0.000000,-0.000000,0.000000,0.000000,12.609375,12.351562,12.398438,12.414062,0.000000,0.000000,0.000000,0.000000,
0.562323,0.000000,-0.000000,0.000000,0.000000,12.601562,12.351562,12.398438,12.406250,0.000000,0.000000,0.000000,0.000000,
0.582370,0.000000,-0.000000,0.000000,0.000000,12.601562,12.351562,12.390625,12.414062,0.000000,0.000000,0.000000,0.000000,
0.602379,0.000000,-0.000000,0.000000,0.000000,12.609375,12.359375,12.398438,12.406250,0.000000,0.000000,0.000000,0.000000,
0.622420,0.025110,0.025110,0.000000,0.000000,12.601562,12.351562,12.390625,12.414062,0.156250,0.000000,0.000000,0.000000,
0.642431,0.297911,0.297911,0.000000,0.000000,12.578125,12.351562,12.390625,12.398438,0.031250,0.093750,0.093750,0.125000,
0.662477,1.079112,1.079112,5.714286,5.714286,12.531250,12.312500,12.320312,12.351562,0.000000,0.000000,0.187500,0.125000,
0.682476,1.934714,1.934714,5.714286,5.714286,12.476562,12.304688,12.148438,12.132812,0.062500,0.000000,0.437500,0.500000,
0.702379,4.614049,4.614049,28.571430,28.571430,12.414062,12.265625,11.921875,11.906250,0.062500,0.000000,16.125000,17.531250,
0.722339,5.000000,5.000000,62.857143,62.857143,11.593750,12.218750,11.687500,11.585938,35.125000,0.000000,29.343750,27.562500,
0.742383,5.000000,5.000000,62.857143,62.857143,11.531250,11.375000,11.445312,11.367188,32.750000,31.062500,30.593750,28.968750,
