Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.515625,11.273438,11.320312,11.343750,0.000000,0.000000,0.000000,0.000000,
0.019080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.515625,11.273438,11.335938,11.343750,0.000000,0.000000,0.000000,0.000000,
0.040132,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.289062,11.328125,11.343750,0.187500,0.000000,0.125000,0.156250,
0.059118,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.273438,11.320312,11.343750,0.187500,0.125000,0.125000,0.156250,
0.079044,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.523438,11.273438,11.320312,11.351562,0.156250,0.125000,0.125000,0.156250,
0.100123,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.281250,11.328125,11.343750,0.187500,0.093750,0.156250,0.156250,
0.119700,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.273438,11.320312,11.351562,0.187500,0.125000,0.156250,0.187500,
0.139073,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.281250,11.320312,11.351562,0.187500,0.093750,0.125000,0.156250,
0.159349,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.273438,11.320312,11.351562,0.156250,0.125000,0.156250,0.156250,
0.179053,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.281250,11.320312,11.351562,0.187500,0.093750,0.156250,0.156250,
0.199088,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.523438,11.273438,11.320312,11.351562,0.156250,0.093750,0.125000,0.156250,
0.220378,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.273438,11.320312,11.351562,0.156250,0.125000,0.125000,0.156250,
0.239290,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.273438,11.328125,11.351562,0.156250,0.125000,0.156250,0.156250,
0.260786,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.273438,11.320312,11.351562,0.156250,0.093750,0.125000,0.156250,
0.279271,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.273438,11.320312,11.351562,0.156250,0.093750,0.156250,0.156250,
0.300033,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.507812,11.273438,11.328125,11.351562,0.156250,0.125000,0.156250,0.156250,
0.320156,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.281250,11.320312,11.343750,0.187500,0.125000,0.125000,0.187500,
0.339071,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.289062,11.320312,11.351562,0.187500,0.125000,0.156250,0.156250,
0.359170,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.289062,11.328125,11.351562,0.156250,0.125000,0.156250,0.187500,
0.380065,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.289062,11.320312,11.351562,0.156250,0.125000,0.125000,0.156250,
0.400260,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.515625,11.289062,11.328125,11.343750,0.156250,0.125000,0.125000,0.156250,
0.419966,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.507812,11.281250,11.320312,11.343750,0.187500,0.093750,0.125000,0.156250,
0.439535,-0.025110,0.025110,0.000000,0.000000,-0.003754,-0.003754,0.003754,0.003754,11.507812,11.273438,11.320312,11.359375,0.187500,0.093750,0.125000,0.156250,
