Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,AngleError_DB,Speed,Omega
0.000798,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020346,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040421,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060588,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080588,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100617,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120514,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140823,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160282,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180493,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200341,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.220447,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.240389,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260485,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280384,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300429,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.320377,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.340387,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.360466,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.380254,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400717,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.420450,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.440361,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.460380,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.480304,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500523,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.520500,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.540556,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.560441,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.580582,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600606,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.620434,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.640584,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.660417,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.680611,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700438,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.720292,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.740465,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.760332,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.780494,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800409,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.820474,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.840509,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.860350,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.880426,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900924,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.920425,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.940682,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.960447,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.980658,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000727,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.020360,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.040479,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.060538,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.080693,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100478,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.120384,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.140372,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.160378,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.180383,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200564,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.220504,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.240494,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.260532,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.280454,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.300631,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.320377,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.340672,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.360491,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.380631,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.400576,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
